2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2047	0
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-6
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-25
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2046	-57
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2044	-102
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2040	-160
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2033	-231
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2022	-313
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
2005	-408
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1981	-515
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1946	-632
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1900	-759
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1841	-894
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1765	-1036
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1671	-1182
1556	-1329
1556	-1329
